fitness,archivo
81.0,BCL1
80.0,BCL1
79.0,BCL1
80.0,BCL1
80.0,BCL1
81.0,BCL1
80.0,BCL1
83.0,BCL1
80.0,BCL1
82.0,BCL1
79.0,BCL1
83.0,BCL1
82.0,BCL1
81.0,BCL1
80.0,BCL1
80.0,BCL1
81.0,BCL1
80.0,BCL1
81.0,BCL1
80.0,BCL1
81.0,BCL1
81.0,BCL1
81.0,BCL1
83.0,BCL1
81.0,BCL1
83.0,QL1
83.0,QL1
83.0,QL1
84.0,QL1
84.0,QL1
85.0,QL1
86.0,QL1
85.0,QL1
81.0,QL1
82.0,QL1
85.0,QL1
83.0,QL1
83.0,QL1
84.0,QL1
80.0,QL2
84.0,QL2
81.0,QL2
84.0,QL2
81.0,QL2
84.0,QL2
85.0,QL2
84.0,QL2
82.0,QL2
84.0,QL2
83.0,QL2
86.0,QL2
84.0,QL2
83.0,QL2
80.0,QL3
79.0,QL3
86.0,QL3
85.0,QL3
83.0,QL3
84.0,QL3
83.0,QL3
85.0,QL3
82.0,QL3
82.0,QL3
84.0,QL3
85.0,QL3
85.0,QL3
84.0,QL3
80.0,QL4
85.0,QL4
81.0,QL4
84.0,QL4
84.0,QL4
84.0,QL4
80.0,QL4
80.0,QL4
83.0,QL4
86.0,QL4
82.0,QL4
83.0,QL4
84.0,QL4
83.0,QL4
81.0,QL5
84.0,QL5
83.0,QL5
84.0,QL5
83.0,QL5
84.0,QL5
81.0,QL5
86.0,QL5
84.0,QL5
85.0,QL5
81.0,QL5
83.0,QL5
84.0,QL5
83.0,QL5
